accuracy,accuracy_drop,balanced_accuracy,balanced_accuracy_drop,case,cost_saving_fraction,delayed_exit_count,exit_disagreement_count,expected_cost_fraction,historical_no_overhead_saving,macro_f1,method,premature_count,reference_accuracy,reference_balanced_accuracy,requested_saving,rescue_count,route_fractions,samples,seed,split,threshold,view,worst_class_accuracy_drop
0.87,0.0,0.8700000000000001,0.0,cifar10,0.11701205826419514,3359,245,0.8829879417358049,0.11709481515537812,0.8705465381481405,msp,0,0.87,0.8700000000000001,0.1,0,"[0.208, 0.792]",5000,58,target,0.9999913824164715,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.08762030887546757,3562,245,0.9123796911245324,0.08770852019811493,0.8710272687835319,msp,0,0.8706,0.8705999999999999,0.1,0,"[0.1558, 0.8442000000000001]",5000,59,target,0.9999913824164715,matched_compute,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.1977549100332281,2578,215,0.8022450899667719,0.19782268291153782,0.8704341932434154,msp,0,0.8698,0.8698,0.2,0,"[0.3514, 0.6486000000000001]",5000,54,source,0.9997791045193469,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.2020341685649203,2551,199,0.7979658314350797,0.2021011473114459,0.8716725543594016,msp,0,0.8718,0.8718,0.2,0,"[0.359, 0.641]",5000,55,source,0.9997791045193469,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.19955670309920392,2567,261,0.8004432969007961,0.1996241416062361,0.8719012337456494,msp,0,0.8716,0.8715999999999999,0.2,0,"[0.3546, 0.6454]",5000,56,source,0.9997791045193469,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.21385843556038542,2474,213,0.7861415644396146,0.21392321999540242,0.8702221963801193,msp,0,0.87,0.8700000000000001,0.2,0,"[0.38, 0.62]",5000,57,target,0.9997791045193469,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.2164485130927254,2479,245,0.7835514869072746,0.216512816869031,0.8705465381481405,msp,0,0.87,0.8700000000000001,0.2,0,"[0.3846, 0.6154]",5000,58,target,0.9997791045193469,matched_compute,0.0
0.8706,0.0,0.8705999999999999,0.0,cifar10,0.17421898810892156,2793,245,0.8257810118910784,0.17429112871204366,0.8710272687835319,msp,0,0.8706,0.8705999999999999,0.2,0,"[0.3096, 0.6904]",5000,59,target,0.9997791045193469,matched_compute,0.0
0.8698,0.0,0.8698,0.0,cifar10,0.29955621826085144,1688,215,0.7004437817391486,0.29960509916198197,0.8704341932434154,msp,0,0.8698,0.8698,0.3,0,"[0.5322, 0.4678]",5000,54,source,0.9971054923626335,matched_compute,0.0
0.8718,0.0,0.8718,0.0,cifar10,0.30529943365864876,1653,199,0.6947005663413512,0.30534724875133223,0.8716725543594016,msp,0,0.8718,0.8718,0.3,0,"[0.5424, 0.4576]",5000,55,source,0.9971054923626335,matched_compute,0.0
0.8716,0.0,0.8715999999999999,0.0,cifar10,0.29516434766253574,1738,261,0.7048356523374643,0.2952140435936552,0.8719012337456494,msp,0,0.8716,0.8715999999999999,0.3,0,"[0.5244, 0.4756]",5000,56,source,0.9971054923626335,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.3075516749911183,1663,213,0.6924483250088818,0.30759907211970494,0.8702221963801193,msp,0,0.87,0.8700000000000001,0.3,0,"[0.5464, 0.4536]",5000,57,target,0.9971054923626335,matched_compute,0.0
0.87,0.0,0.8700000000000001,0.0,cifar10,0.3064255543248836,1700,245,0.6935744456751164,0.30647316043551864,0.8705465381481405,msp,0,0.87,0.8700000000000001,0.3,0,"[0.5444, 0.4556]",5000,58,target,0.9971054923626335,matched_compute,0.0
